COUNTRY,META,COWCCODE,REGION,STARTYEAR,ENDYEAR,CIVFATLOW,CIVFATHIGH,AVGFAT,DESCRIPTION,SUMMARY,VICTIMGROUP,"VICTIMTYPE
(ethnic/religious, political, other)",NOTES,SOURCE
Bulgaria,Political Repression,355,Europe and Central Asia,1944,1956,50138,60138,55138,"Between 1944 and 1956, the government under the Bulgarian Communist Party killed tens of thousands of suspected political opponents. On September 9, 1944 the Bulgarian political resistance movement, the Fatherland Front, led a coup d'état and installed a coalition government dominated by the Bulgarian Communist Party. In the years immediately following World War II, the Bulgarian Communist Party eliminated political opponents through purges, with support from the Soviet Uni+G42on. From October until April 1945, ""people’s tribunals” tried over ten thousand alleged fascists, of whom over two thousand were sentenced to death, including the regents, the brother of King Boris III and officers in the army. Tens of thousands of “enemies of the people” were “disappeared” without trial, mainly local nobility, mayors, teachers, Orthodox priests, and shopkeepers. The Bulgarian Communist Party also organized the deportation of political opponents to concentration camps. Although communist rule lasted until 1989, the worst repression ended following Khruschev’s secret speech in February, 1956.",Communist government represses suspected political opponents.,suspected political opponents,"Political
",,CSY
Albania,Political Repression by Communist Government,339,Europe and Central Asia,1944,1985,5000,10000,7500,"Between 1944 and 1985, Albanian communist government purged thousands of suspected political opponents. Following Germany's withdrawal from Albania, on November 29, 1944, the Albanian Communist Party seized power. Under Enver Hoxha, the communist party established a repressive Stalinist regime run by the secret police, Sigurimi. Under Hoxha, the government imprisoned thousands of political opponents and their families in forced-labor camps where thousands were executed. During Hoxha's forty year rule until his death in April 1985, the repressive and isolated regime continued to brutally suppress any resistance through interrogation, internal exile, imprisonment, and execution. ",Communist government represses suspected political opponents.,suspected political opponents,Political,,CSY
Poland,Political Repression by Communist Government,290,Europe and Central Asia,1945,1956,8668,30000,19334,"Between 1945 and 1956, the Soviet Red Army and the Polish communist government killed tens of thousands of Polish underground armed opposition to the pro-Soviet regime. In January 1945, under the Yalta Agreement, a pro-communist provisional government was established in Poland. The Communist party rigged subsequent elections in 1947 and established a Stalinist regime which remained under permanent Soviet military occupation. In the late 1940's and 1950's, tens of thousands of underground Polish independence fighters, or “cursed soliders,” were imprisoned, deported en masse to gulags, or killed in armed struggle against the Soviet Red Army and the Soviet secret agency NKVD. Political repression abated after 1956, following de-Stalinization and the death of hard-line communist President Bolesław Bierut.",Communist government represses suspected political opponents.,suspected political opponents,Political,,CSY
Hungary,Political Repression,310,Europe and Central Asia,1945,1960,2000,2000,2000,"Between 1945 and 1949, the government under the Hungarian Communist Party killed thousands of suspected political opponents. Following World War II, the Hungarian Communist Party consolidated power and established a repressive Stalinist regime under Mátyás Rákosi. The state secret police, the State Protection Authority, arrested thousands of opponents of the regime who were tortured, sent to fored-labor camps, or executed. Rákosi also purged hundreds of thousands of communist party members from the Hungarian Communist Party. The government forcibily deported former aristocrats, industrialists, army officers and upper class people were deported to the countryside where they were forced to do hard agricultural labor. The repression abated from the early 1960s, when many political prisoners were pardoned and released.",Communist government represses suspected political opponents.,suspected political opponents,Political,,CSY+N33
Yugoslavia,Expulsion of Germans,345,Europe and Central Asia,1945,1948,55000,59355,57177.5,"In the immediate years after World War II, the Yugoslav government under Marsha Tito killed tens of thousands of ethnic Germans as revenge for the Nazi Germany’s atrocities during occupation by persecuting Yugoslav ethnic Germans. Upon Yugoslavia's liberation in 1944, the leader of the resistance movement Marshal Tito’s government passed laws stripping ethnic Germans of civic rights, confiscating their property, and revoking their Yugoslav citizenship. Subsequently, the communist resistance movement and the local Yugoslav population exacted revenge on the ethnic German population by murdering tens of thousands of ethnic Germans who remained in Yugoslavia. In the immediate years after World War II, hundreds of thousands of ethnic Germans were raped, sustained economic losses, forced to work as slave laborers, or detained in forced-labor camps. ",Yugoslavs expel ethnic Germans in retaliation for occupation and repression by Germany during World War II.,Ethnic Germans,Ethnic,,CSY
Yugoslavia,Political Repression,345,Europe and Central Asia,1945,1956,35000,65000,50000,"Between 1945 and 1956, the Yugoslav Communist government under Marshal Tito executed tens of thousands of Croatian collaborationists, anticommunists, pro-Soviet communists, and opponents of the regime. After the end of World War II, in the “Bleiburg massacre,” Marshal Tito’s resistance movement, the Partisans, slaughtered tens of thousands of surrendered collaborationist Croatian soldiers, civilians Chetniks, and Slovenes, who were repatriated following Germany’s surrender. The remaining died on long death marches and in forced labor camps. After Tito’s break from Stalin in 1948, thousands of pro-Soviet communists and other political opponents were also arrested, interned in labor camps, or executed. The most famous labor camp, the secret prison on Goli Otok island imprisoned and killed thousands of political opponents of the communist regime.","Repression and retribution against Croatians, former Chetniks, and other suspected opponents of the communist regime after WWII.",suspected political opponents; Croatians,Ethnic and Political,,CSY
Romania,Political Repression,360,Europe and Central Asia,1945,1989,100000,360000,230000,"Between 1945 and 1989, Romania's communist government killed tens of thousands of suspected political opponents. On March 6, 1945, a communist government backed by the Soviet Union came to power in Romania. Following the communist takeover, Romania’s communist regime consolidated its power by executing tens of thousands of pro-Axis politicians, intellectuals, and political opponents. The implementation of agricultural collectivization in 1948 also led to the imprisonment and deaths of tens of thousands of wealthy or resistant peasants. Hundreds of thousands more perished in forced labor camps, in particular in the labor camps digging the Danube-Black Sea Canal.",Communist government represses suspected political opponents.,suspected political opponents,Political,,CSY
Czechoslovakia,Expulsion of Germans,315,Europe and Central Asia,1945,1946,19000,30000,24500,"Following German capitulation in 1945, local authorities and armed forces in Czechoslovakia killed tens of thousands of Sudeten ethnic Germans as revenge for the Nazi Germany’s atrocities during occupation. Following Germany's capitulation in 1945, the government forcibly expelled Sudeten Germans from Czechoslovakia. Several thousand Sudeten Germans died violently during the expulsion, as well as from disease and malnutrition. Tens of thousands of ethnic Germans who remained were also subjected to property confiscation, had their citizenship revoked, forced to work as slave laborers, executed for collaborationist crimes, or died from maltreatment and malnutrition in camps.",Czechs expel ethnic Germans in retaliation for occupation and repression by Germany during World War II.,Ethnic Germans,Ethnic,,CSY
Poland,Expulsion of Germans,290,Europe and Central Asia,1945,1948,1225000,1618400,1421700,"Between 1945 and 1948, the Polish government killed hundreds of thousands of ethnic Germans during the forced displacement and expulsion of Germans. Following German capitulation in 1945, millions of ethnic Germans remaining in Poland were forcibly displaced from Western Poland. After the Potsdam Conference approved the expulsion of Germans, several million Germans without verified Slavic origins were expelled from Poland. All remaining Germans had their property confiscated, were deprived of civic rights, and faced looting, rape and murder by local populations and military forces. Several hundreds of thousands also died in forced labor camps in Poland and the USSR before expulsion.",Poles expel ethnic Germans in retaliation for occupation and repression by Germany during World War II.,Ethnic Germans,"Ethnic
",,CSY
Poland,vs. UPA/OUN (Ukrainian nationalists),290,Europe and Central Asia,1945,1947,2500,7500,5000,"Between 1945 and 1947, the Polish government killed thousands of ethnic Ukrainian civilians during an effort to resettle Ukrainians and defeat the Ukrainian nationalist insurgency. After World War II, the Polish government and Soviet Union increased the resettlement of the Ukrainian population from the disputed territory between Poland and Soviet Ukraine. The forced resettlement grew violent as the Polish police and the Polish nationalist underground killed resistant civilians and massacred civilians as revenge for past massacres of Poles in the region. To hinder the deportations, the Ukrainian underground nationalist Ukrainian Insurgent Army (UPA) launched attacks on the Poles. Thousands of civilians, members of the UPA and suspected supporters of the UPA died during the deportations and the Polish government's clampdown on the UPA.",Polish government kills civilians during effort to defeat Ukrainian separatists insurgency.,Ukrainians; suspected supporters of the UPA,Ethnic and Political,,CSY
