"cown","iso3n"
355,"100"
339,"008"
290,"616"
310,"348"
345,"0NA"
345,"0NA"
360,"642"
315,"200"
290,"616"
290,"616"
840,"608"
710,"156"
315,"200"
775,"104"
732,"410"
100,"170"
775,"104"
731,"408"
850,"360"
710,"156"
90,"320"
816,"704"
816,"704"
710,"156"
625,"736"
41,"332"
40,"192"
645,"368"
438,"324"
812,"418"
484,"178"
645,"368"
530,"231"
615,"012"
679,"887"
645,"368"
517,"646"
511,"0NA"
484,"178"
553,"454"
100,"170"
42,"214"
850,"360"
516,"108"
811,"116"
475,"566"
411,"226"
840,"608"
850,"360"
663,"400"
500,"800"
770,"586"
780,"144"
840,"608"
552,"716"
770,"586"
155,"152"
530,"231"
93,"558"
812,"418"
811,"116"
816,"704"
541,"508"
540,"024"
850,"360"
160,"032"
560,"710"
530,"231"
92,"222"
630,"364"
700,"004"
630,"364"
652,"760"
771,"050"
475,"566"
135,"604"
500,"800"
93,"558"
552,"716"
520,"706"
483,"148"
625,"736"
780,"144"
750,"356"
640,"792"
678,"0NA"
500,"800"
775,"104"
516,"108"
910,"598"
850,"360"
780,"144"
360,"642"
450,"430"
750,"356"
517,"646"
475,"566"
750,"356"
483,"148"
451,"694"
645,"368"
345,"0NA"
615,"012"
373,"031"
41,"332"
345,"0NA"
700,"004"
702,"762"
372,"268"
484,"178"
490,"180"
517,"646"
365,"643"
790,"524"
700,"004"
484,"178"
345,"0NA"
490,"180"
450,"430"
625,"736"
780,"144"
437,"384"
620,"434"
652,"760"
625,"736"
626,"728"
NA,"0NA"
NA,"0NA"
NA,"0NA"
