COUNTRYEVENTNAME,START/ENDDATENOTES,COWCCODE,STARTDAY,STARTMONTH,STARTYEAR,ENDDAY,ENDMONTH,ENDYEAR,DURATIONYRS,EVENT SUMMARY,"CIVFAT
(CIVFAT)",CIVFATLOW,CIVFATHIGH,AVGFAT,VICTIMGROUP,"VICTIMTYPE
(ethnic/religious, political, other)"
Bulgaria (political repression),"""Immediately after September 9, 1944, when the Popular Patriotic Front seized power... a police force and security department controlled by the communist party moved into action."" (Karel Bartosek, “Central and Southeastern Europe,” in Stéphane Courtois, et. al, The Black Book of Communism: Crimes, Terror, Repression (Cambridge: Harvard University Press, 1999), p. 395.)
Most accounts suggest the worst repression ended after Khrushchev's secret speech in February, 25 1956.",355,9,9,1944,25,2,1956,12,Communist government represses suspected political opponents.,"LOW: 2,138 (early executions) + 30,000 (purge) + 18,000 (camp deaths) = 50,138
HIGH: 2,138 (early executions) + 40,000 (purge) + 18,000 (camp deaths) = 60,138
""Immediately after September 9, 1944, when the Popular Patriotic Front seized power... a police force and security department controlled by the communist party moved into action.  On October 6 'people's tribunals' were established by decree.  By March 1945 they had... condemned 2,138 people to death, including the regents, the Brother of King Boris III, high-ranking officers, policemen, judges, industrialists and journalists.  According to specialists, a savage purge accounted for the death or disappearance of another 30,000 to 40,000 people, mainly the local nobility, mayors, teachers, Orthodox priests, and shopkeepers."" (Karel Bartosek, “Central and Southeastern Europe,” in Stéphane Courtois, et. al, The Black Book of Communism: Crimes, Terror, Repression (Cambridge: Harvard University Press, 1999), p. 395.)
""The first mass trial, lasting from Dec. 20, 1944, to Feb. 1, 1945, resulted in death sentences for 3 of the tsar's former regents, 28 former ministers, 68 members of parliament, and an adviser to the tsar. Other defendants received long prison sentences. According to official statistics, by the time the people's courts completed their work in April 1945, they had tried 11,122 people, of whom 2,730 were condemned to death, 1,305 to life imprisonment, and 5,119 to terms of up to 20 years. Unofficial estimates suggested that as many as 30,000 political opponents were killed."" (Bulgaria. (2006). In Encyclopædia Britannica. Retrieved June 12, 2006, from Encyclopædia Britannica Online: http://www.search.eb.com/eb/article-42753).
""At least 86 camps operated here from 1944 to 1962, according to evidence uncovered in the past three months. Although there are no detailed records, Western diplomats here have seen credible evidence that about 180,000 people passed through the camps and that about 18,000 of them died. Unmarked mass graves have been uncovered regularly across the country for the past two months."" (Washington Post, ""Bulgaria Lifts Curtain on its Stalinist Gulag,"" May 26, 1990, p. A1).","50,138","60,138","55,138",suspected political opponents,"Political
"
Albania (political repression - communist government),"""the communists seized control of the country on Nov. 29, 1944…  Albania... now fell under the collective dictatorship of the Albanian Communist Party. The country became officially the People's Republic of Albania in 1946...After Hoxha's death in [April 11] 1985, his handpicked successor, Ramiz Alia, sought to preserve the communist system while introducing gradual reforms in order to revive the economy."" (Albania. (2006). In Encyclopædia Britannica. Retrieved June 12, 2006, from Encyclopædia Britannica Online: http://www.search.eb.com/eb/article-42656)",339,29,11,1944,11,4,1985,41,Communist government represses suspected political opponents.,"LOW: 5,000
HIGH: 10,000 (estimate additional 5,000 died in camps)
""The president of the Association of Former Political Prisoners, Kurt Kola, said documents showed that 5,000 political prisoners had been executed and 25,000 more imprisoned for long periods during the 40-year period of Hoxha rule. An additional 70,000 were dispatched into internal exile in remote mountain regions, the association says."" (New York Times, ""Tirana Journal; A Stalinist Dowager in Her Bunker,"" July 8, 1997p. A4).","5,000","10,000","7,500",suspected political opponents,Political
Poland (political repression - communist government),"First provisional government is established in January 1945… Most repression ends with de-Stalinization and rise to power of moderate Gomulka government in October 1956.
""The Provisional Government of the Republic of Poland (Polish: Rząd Tymczasowy Rzeczypospolitej Polskiej or RTRP) was created by Krajowa Rada Narodowa on the night of 31 December 1944"" (https://en.wikipedia.org/wiki/Provisional_Government_of_the_Republic_of_Poland)",290,1,1,1945,1,10,1956,11,Communist government represses suspected political opponents.,"""Most Poles were resisting Stalin's control.  In March 1946 the People's Army, internal security forces, and a volunteer militia began to crush the anti-Stalinist opposition.  Over the next three years 30,000 more Poles died as the Stalinist forces fought three underground armies."" (Tina Rosenberg, The Haunted Land (New York: Random House, 1995), p. 145)
""Between 1944 and 1948... as a result of repressive actions against the opposition, 8,668 people were killed [and] some 150,000 were arrested."" [citing Polish documents] (Grzegorz Ekiert, ""Rebellious Poles: political crises and popular protest under state socialism, 1945-89,"" East European Politics and Societies, vol. 11, no. 2 (March 1997), p. 307)
""During the [1956] revolt some 100 people were killed.""  (Grzegorz Ekiert, ""Rebellious Poles: political crises and popular protest under state socialism, 1945-89,"" East European Politics and Societies, vol. 11, no. 2 (March 1997), p. 310)","8,668","30,000","19,334",suspected political opponents,Political
Hungary (political repression),"""The provisional government concluded an armistice with the Soviet Union on January 20, 1945, while fighting still raged in the western part of the country... Pragmatism and reform gradually became the watchwords in economic policy-making, especially after 1960, and policymakers began relying on economists and other specialists rather than ideologists in the formation of economic policies."" (Library of Congress Country Study, Hungary (http://lcweb2.loc.gov/frd/cs/cshome.html)).
""By mid-1957 the system had been re-equilibrated [after the 1956 uprising], the opposition had been crushed, and society demobilized.  As repressive measures tailed off, the workplace and private life became less politicized... In the early 1960s a gradual easing of repression saw political prisoners and those in internment camps amnestied."" (J.C. Sharman, Repression and Resistance in Communist Europe (London: Routledge, 2003) p. 88).
Event does not include 1956 uprising deaths - which is primarily interstate violence.",310,20,1,1945,1,1,1960,15,Communist government represses suspected political opponents.,"""at the time of Stalin's death [in 1953], there were an estimated 150,000 political prisoners in Hungarian jails or 1.5% of the population.  Another 2,000 individuals had been executed."" (Joan Sokolvsky, Peasants and Power (Boulder: Westview Press, 1990), p. 133).
""Between 1945 and 1956...  the Communist secret police AVO, then AVH..  tortured and killed thousands of people who refused to cooperate with pro-Soviet Hungarian authorities."" (Agence France Presse, ""Hungary to open museum dedicated to Nazi, Communist terror,"" February 20, 2002).","2,000","2,000","2,000",suspected political opponents,Political
Romania (political repression),"""Extraordinary pressure by Soviet authorities forced King Michael to appoint a procommunist government led by the fellow-traveler Petru Groza on March 6, 1945.  Between the installation of the Groza government and parliamentary elections in November 1946, the Communist Party used its control of the security apparatus and other key government agencies to suppress the opposition…The decade of the 1960s brought a period of relaxation at home and defiance of the Soviet Union in international relations. Although no genuine political liberalization took place and there was no retreat from the fundamentals of the Stalinist economic model, the intrusiveness of the regime in individual lives was curtailed...In domestic affairs, Ceausescu brought the period of relaxation to an end with his July theses of 1971, in which he demanded a return to rigid ideological orthodoxy and reasserted the leading role of the party. In the nearly two decades of “neo-Stalinism” that followed, the Communist Party intensified its control of mass organizations and intruded more deeply than ever before into the daily lives of citizens. Ceausescu promoted a cult of personality that was unprecedented in Romanian history and that served as the foundation of a dictatorship that knew no limits....Yet the Ceausescu dictatorship, which had come to seem unassailable, was overthrown in the course of a single week, Dec. 16–22, 1989."" (Romania. (2006). In Encyclopædia Britannica. Retrieved June 12, 2006, from Encyclopædia Britannica Online: http://www.search.eb.com/eb/article-42879)
Not entirely clear whether violence continues at 100+ per-year under Ceausescu.  Event could end in 1965 with death of Gheorghe Gheorghiu-Dej.",360,6,3,1945,22,12,1989,44,Communist government represses suspected political opponents.,"""Some 100,000 peasants, intellectuals and members of the pre-Communist government are believed to have perished in communist gulags harsh corrective labor camps or while building the Black Sea Canal, an 80-kilometer (50-mile) long channel linking the sea to the Danube River."" (""Former Gulag Commander on Trial for 216 Deaths,"" Associated Press Newswires, January 22, 2001).
""Corneliu Coposu... himself an inmate of Romanian prisons for 17 years, put the number of those arrested after 1947 at 282,000.  Of these he estimated 190,000 to have died in detention. The exact figure will never be known."" (Dennis Deletant, Ceausescu and the Securitate: Coercion and Dissent in Romania, 1965-1989 (Armonk: Me Sharpe, 1995), p. 25)    
""In the first four years of the communist takeover, about 75,000 real or alleged enemies of the people were executed."" (George H. Hodos, Show Trials: Stalinist Purges in Eastern Europe: 1948-1954 (New York: Praeger, 1987), p. 96).
""The communist takeover was accompanied by considerable violence aimed against political rivals... During 1946 and 1947 'state terror' reached its climax resulting in the execution of 60,000 persons... The Association of Former Political Prisoners of Romania has estimated that an additional 300,000 persons perished in Gheorghiu-Dej's [who died in 1965] labour camps."" (Martin Rady, Romania in Turmoil: A Contemporary History (London: IB Tauris, 1992), p. 31.) TOTAL = 360,000.","100,000","360,000","230,000",suspected political opponents,Political
Yugoslavia  (expulsion of Germans),"""The [German] detention camps were operated in Tito's socialist Yugoslavia between late 1944 and 1948."" (Stefan Wolff, German Minorities in Europe: Ethnic Identity and Cultural Belonging (New York: Berghan books, 2000), p. 155)
Formation of Tito's government on March 7, 1945",345,7,3,1945,1,1,1948,3,Yugoslavs expel ethnic Germans in retaliation for occupation and repression by Germany during World War II.,"""There are some estimations that 85,399 Yugoslav Germans lost their lives 26,064 as Nazi Soldiers and 59,355 as civilians..."" (Stefan Wolff, German Minorities in Europe: Ethnic Identity and Cultural Belonging (New York: Berghan books, 2000), p. 154)
""in Yugoslavia... genocide was a deliberate feature of the Tito regime's policy towards the Germans... At least 55,000 ethnic Germans were slaughtered on the spot or died in concentration camps..."" (Kurt Glaser and Stefan T. Possony, Victims of Politics: the State of Human Rights (New York, Columbia University Press, 1979), p. 528.) May be low since it does not include those who died during the expulsion.","55,000","59,355","57,178",Ethnic Germans,Ethnic
Yugoslavia (political repression),"""The communists under Tito emerged from the war as sole rulers of Yugoslavia, without major Soviet assistance. King Petar surrendered his powers to a three-member regency in late 1944, and under Allied pressure Tito and Subasic agreed to merge their governments. On March 7, 1945, a single provisional Yugoslav government took office with Tito as prime minister...Living conditions, health care, education, and cultural life improved in the wake of the economic and political reforms. In the mid-1950s, the government redirected investment toward production of consumer goods, and foreign products became widely available. The regime also relaxed its religious restrictions, allowed for a degree of public criticism, curbed abuse of privileges by party officials, and reduced the powers of the secret police."" (Library of Congress Country Study, Yugoslavia (former) (http://lcweb2.loc.gov/frd/cs/cshome.html)).(http://lcweb2.loc.gov/cgi-bin/query2/r?frd/cstdy:@field(DOCID+yu0033)",345,7,3,1945,1,1,1956,11,"Repression and retribution against Croatians, former Chetniks, and other suspected opponents of the communist regime after WWII.","LOW: 20,000 (Bleiburg Massacre) + 10,000 (other post war repression) + 5,000 (Goli Otok) = 35,000
HIGH: 40,000 (Bleiburg Massacre) + 20,000 (other post war repression) + 5,000 (Goli Otok) = 65,000
""Tens of thousands of people were executed in 1946-7 while hundreds of thousands were interned.  In 1947, there were so many men in camps of prisons that the penal system started to buckle under the strain."" (Misha Glenny, The Balkans (New York: Viking, 1999), p. 531).
""New publications say up to 5,000 pro-Soviet Communists who opposed Tito's break with Moscow died in the camp between 1948 and the mid-1950s."" (Associated Press, ""10 Years After His Death, Tito's Deeds Die Too,"" May 4, 1990)
After the Nazi surrender ""Tens of thousands of Croats fled, fearing the advent of communism or convinced that, having served the regime in one capacity or another, they would be marked for execution by the Partisans.  They were right.  On 15 May [1945] they surrendered to the British at Bleiburg, just over the Slovene border in Austria.  Returned by the British, between 20,000 and 40,000 of them were executed by the [communist] Partisans.  They were not just Croats, though.  Their numbers included Slovenes and some Chetniks who were also trying to escape."" (Tim Judah, The Serbs (New Haven: Yale University Press, 1997), p. 130)
""At the center of the controversy is the concentration camp set up in great secrecy on Goli Otok (""Naked Island""), an arid and desolate outcrop of rock in the northern Adriatic Sea. Between 1948 and 1952, thousands of alleged pro-Soviet sympathizers passed through the camp. Some died as the result of the treatment they received there. Others committed suicide.... Even now, however, many details remain obscure -- including the number of prisoners. Figures have ranged from 8,000 (published in the Yugoslav press) to over 50,000 (an estimate by Amnesty International)."" (Washington Post, ""Yugoslav Horrors on 'Naked Island',"" July 18, 1982, p. B4).
""Djilas adds that, in dealing with opposition forces, ''we didn't know how to avoid the concentration camp.'' The one at Goli Otok (Naked Island, just off the Dalmatian coast) was erected for the 15,000 Yugoslav Communists who supported the Soviet Union or were suspected of it after the 1948 break with Moscow. Inmates were subjected to torture and brainwashing. Still, Tito avoided death sentences and Djilas believes that despite the fury his own dissidence evoked in the leader, Tito rejected security police advice to do away with him."" David Binder, THE PRINCE, YUGOSLAV-STYLE: A review of Tito the Story from Inside, by Milovan Djilas, New York Times Book Review, November 16, 1980, p. 13).","35,000","65,000","50,000",suspected political opponents; Croatians,Ethnic and Political
Czechoslovakia (expulsion of Germans),"""On May 5, 1945, A Czech rebellion broke out in Prague.  [Leading to]… acts of revenge taken against German soldiers and civilians… Following the German capitulation on May 8, wild expulsions of Germans began…"" (Alfred M. de Zayas, A Terrible Revenge: The Ethnic Cleansing of the East European Germans, 1944-1950 (New York: St. Martin's Press, 1994), p. 86)
Expulsions lasted from May 1945 to November 1946. (Eagle Glassheim, ""The Mechanics of Ethnic Cleansing,"" in Philipp Ther and Ana Siljak, ed., Redrawing Nations: Ethnic Cleansing in East-Central Europe, 1944-1948 (Lanham: Rowman & Littlefield Publishers, 2001), p. 209).",315,8,5,1945,.,11,1946,1,Czechs expel ethnic Germans in retaliation for occupation and repression by Germany during World War II.,"""There is a wide range of estimates as to the number of German deaths during the wild and regularized periods, but the Czech-German commission has determined it was somewhere between 19,000 and 30,000... German historians, many of them Sudeten expellees, have ling claimed upward of 200,000 deaths during the expulsions from Czechoslovakia... The joint commission's numbers should finally put these exaggerations to rest."" (Eagle Glassheim, ""The Mechanics of Ethnic Cleansing,"" in Philipp Ther and Ana Siljak, ed., Redrawing Nations: Ethnic Cleansing in East-Central Europe, 1944-1948 (Lanham: Rowman & Littlefield Publishers, 2001), p. 208, 218)
""There is no denying the Sudeten Germans suffered terribly. Before or after the decrees, some 2.4 million were expelled. Even Czech historians say some 19,000 died in the process, 6,000 violently. Sudeten German groups today--for they still exist in Germany and Austria, and they haven't forgotten--say far more died. It could be: just last month a Czech historian uncovered new evidence suggesting that the Benes government covered up mass executions of German civilians."" (The Economist, A spectre over Central Europe, August 17, 2002).
267,000 Germans ""dead or missing in flight and expulsion"" in 1945-1950 from Czechoslovakia (Alfred M. de Zayas, A Terrible Revenge: The Ethnic Cleansing of the East European Germans, 1944-1950 (New York: St. Martin's Press, 1994), p. 152).","19,000","30,000","24,500",Ethnic Germans,Ethnic
Poland (expulsion of Germans),"""On 26 May 1945, The Polish Worker's Party decided to displace all Germans from the so-called western territories…Abuses continued throughout 1947... The displacements continued to be carried out, on a lesser scale and different principles, in successive years - 1948, 1949, and even throughout the 1950s."" (Stanislaw Jankowiak, ""Cleansing Poland of Germans..."" in Philipp Ther and Ana Siljak, ed., Redrawing Nations: Ethnic Cleansing in East-Central Europe, 1944-1948 (Lanham: Rowman & Littlefield Publishers, 2001), p. 89) .",290,26,5,1945,1,1,1948,3,Poles expel ethnic Germans in retaliation for occupation and repression by Germany during World War II.,"1,225,000 Germans ""dead or missing in flight and expulsion"" in 1945-1950 from ""eastern territories of the German Reich [mainly Poland]"" (Alfred M. de Zayas, A Terrible Revenge: The Ethnic Cleansing of the East European Germans, 1944-1950 (New York: St. Martin's Press, 1994), p. 152).
""According to West German statistics... 1,618,400 Germans died during the expulsion from Poland...  Philipp Ther, “The Integration of Expellees in Germany and Poland after World War II: A Historical Reassessment,” Slavic Review, vol. 55, no. 4 (Winter 1996), p. 785, n. 30.)","1,225,000","1,618,400","1,421,700",Ethnic Germans,"Ethnic
"
Poland vs. UPA/OUN (Ukrainian nationalists),"""In late July 1945, the Polish government, believing itself justified by the increasingly ruthless tactics of the UPA [Ukrainian Insurgent Army], turned to the use of force to resolve the Ukrainian question."" (Marek Jasiak, ""Overcoming Ukrainian Resistance: The Deportation of Ukrainians within Poland in 1947,"" in Philipp Ther and Ana Siljak, ed., Redrawing Nations: Ethnic Cleansing in East-Central Europe, 1944-1948 (Lanham: Rowman & Littlefield Publishers, 2001), p. 180).
""In late 1945 and early 1946, the UPA went on the offensive… It commenced a campaign of attacking police outposts, destroying railroads and bridges, and assassinating members of the resettlement commissions... UPA activity ceased only in September 1947, when most of its commanders had been killed in action."" (Orest Subtelny, ""Expulsion, Resettlement, Civil Strife: The Fate of Poland's Ukrainians, 1944-1947.""  (Orest Subtelny, ""Expulsion, Resettlement, Civil Strife: The Fate of Poland's Ukrainians, 1944-1947,"" Philipp Ther and Ana Siljak, ed., Redrawing Nations: Ethnic Cleansing in East-Central Europe, 1944-1948 (Lanham: Rowman & Littlefield Publishers, 2001), p. 162, 168).",290,.,7,1945,.,9,1947,2,Polish government kills civilians during effort to defeat Ukrainian separatists insurgency.,"""According to some Polish historians, 4,000 ethnic Ukrainians were killed between June 1945 and March 1947...  Of these approximately 1,500 were members of the UPA.  The remaining 2,500 people were either civilian members of the OUN or simply civilians” (Marek Jasiak, ""Overcoming Ukrainian Resistance: The Deportation of Ukrainians within Poland in 1947,"" in Philipp Ther and Ana Siljak, ed., Redrawing Nations: Ethnic Cleansing in East-Central Europe, 1944-1948 (Lanham: Rowman & Littlefield Publishers, 2001), p. 187).
""Polish historians tend to estimate the losses among the Ukrainian underground and civilian population in Poland during the years 1945-1947 as somewhere between 4,700 and 5,000 people.  This seems to be a very low estimate.  Tadeusz Olszanski estimates the total Ukrainian losses in Poland between autumn 1944 and autumn 1947 at between 8,000 and 10,000 dead.  He holds the Polish armed underground responsible for murdering anywhere from 2,500 to 4,500 people. [Leaving between 3,500 and 7,500 killed by government]."" (Marek Jasiak, ""Overcoming Ukrainian Resistance: The Deportation of Ukrainians within Poland in 1947,"" in Philipp Ther and Ana Siljak, ed., Redrawing Nations: Ethnic Cleansing in East-Central Europe, 1944-1948 (Lanham: Rowman & Littlefield Publishers, 2001), p. 188).
4,670 ""Ukrainian civilians killed during resettlement."" (Orest Subtelny, ""Expulsion, Resettlement, Civil Strife: The Fate of Poland's Ukrainians, 1944-1947,"" in Philipp Ther and Ana Siljak, ed., Redrawing Nations: Ethnic Cleansing in East-Central Europe, 1944-1948 (Lanham: Rowman & Littlefield Publishers, 2001), p. 164).","2,500","7,500","5,000",Ukrainians; suspected supporters of the UPA,Ethnic and Political
